VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500m,m108300,m108300s,m108500,m108500m,m107300,m107300s,m107500s,m107500m,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"65000110010",新北市,汐止區,長安里,Chang'an Vil.,F,"65000",F28,"65000110",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"428241"
"65000120017",新北市,瑞芳區,碩仁里,Shuoren Vil.,F,"65000",F21,"65000120",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,"7922829"
65000280P03,新北市,萬里區,,,F,"65000",F26,"65000280",未編定村里,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1",,,,"14776"
"65000100033",新北市,淡水區,沙崙里,Shalun Vil.,F,"65000",F27,"65000100",,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",,,,,,,,,,,"1","1",,,"2756675"
"65000100009",新北市,淡水區,埤島里,Pidao Vil.,F,"65000",F27,"65000100",,"1","0","1","1","1","1","1","1",,"1","1","1",,"1","1","1",,"1",,,,,,,,,,,,"1",,,"2370247"
"65000100014",新北市,淡水區,忠寮里,Zhongliao Vil.,F,"65000",F27,"65000100",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"3106249"
"65000280002",新北市,萬里區,龜吼里,Guihou Vil.,F,"65000",F26,"65000280",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1",,,"3600856"
65000280P02,新北市,萬里區,,,F,"65000",F26,"65000280",未編定村里,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"7681"
65000280P01,新北市,萬里區,,,F,"65000",F26,"65000280",未編定村里,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"43204"
"65000100008",新北市,淡水區,崁頂里,Kanding Vil.,F,"65000",F27,"65000100",,"1","0","1","1","1","1","1","1",,"1","1","1","1","1","1","1","1","1",,,,,,,,,,,"1","1","1",,"4286077"
"65000100007",新北市,淡水區,忠山里,Zhongshan Vil.,F,"65000",F27,"65000100",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,"3349517"
"65000280005",新北市,萬里區,磺潭里,Huangtan Vil.,F,"65000",F26,"65000280",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1",,,,"9030705"
"63000060018",臺北市,大同區,國慶里,Guoqing Vil.,A,"63000",A09,"63000060",,"0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","117468"
"63000100040",臺北市,內湖區,南湖里,Nanhu Vil.,A,"63000",A14,"63000100",,"1","0","1","1","1","1","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1",,"1","1","1",,"372862"
"63000010010",臺北市,松山區,精忠里,Jingzhong Vil.,A,"63000",A01,"63000010",,"1","0","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"2280442"
"63000060022",臺北市,大同區,至聖里,Zhisheng Vil.,A,"63000",A09,"63000060",,"0","0","0","1","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","230758"
"63000060021",臺北市,大同區,鄰江里,Linjiang Vil.,A,"63000",A09,"63000060",,"0","1","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"231454"
"63000100036",臺北市,內湖區,明湖里,Minghu Vil.,A,"63000",A14,"63000100",,"1","0","1","1","1","1","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1",,"1","1","1",,"93179"
"63000100018",臺北市,內湖區,葫洲里,Huzhou Vil.,A,"63000",A14,"63000100",,"1","0","1","1","1","1","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1",,"1","1","1",,"235520"
