VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,COUNTYCODE,TOWNCODE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500s,m108300,m108300s,m108500,m108500s,m107300,m107300s,m107500,m107500s,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"65000090011",新北市,三峽區,嘉添里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"6564512"
"65000060028",新北市,新店區,廣興里,"65000","65000060","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"23330998"
"65000090010",新北市,三峽區,大埔里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"4280737"
"65000090022",新北市,三峽區,竹崙里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"23083137"
"65000090005",新北市,三峽區,弘道里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"6791592"
"65000200004",新北市,坪林區,石[曹]里,"65000","65000200","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1",,,,"42834137"
"65000090025",新北市,三峽區,中正里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"1477467"
"65000090003",新北市,三峽區,八張里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"120010"
"65000090023",新北市,三峽區,介壽里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1",,"1",,"2511198"
"65000090024",新北市,三峽區,安溪里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"402568"
"65000090004",新北市,三峽區,中埔里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"1387444"
"65000090001",新北市,三峽區,三峽里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"38370"
"65000090002",新北市,三峽區,秀川里,"65000","65000090","0","0","0","0","0","1","0",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"28440"
"65000090007",新北市,三峽區,礁溪里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"508161"
"65000200003",新北市,坪林區,大林里,"65000","65000200","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1","1",,"36178166"
"65000090018",新北市,三峽區,溪南里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1",,,"4428818"
"65000060026",新北市,新店區,屈尺里,"65000","65000060","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"11596492"
"65000090006",新北市,三峽區,永舘里,"65000","65000090","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"347808"
